"nutM_code","year","year_start","year_end","response","temperature_winter","temperature_fall","precipitation_spring","precipitation_fall","relative_humidity_winter","relative_humidity_fall","pastures","urbanAreas","primaryNonForest"
"ES111",2024,NA,NA,0,11.0611801147461,15.7358913421631,5.02974843978882,4.88533020019531,83.521858215332,83.2335662841797,0.0410337373614311,0.0191821400076151,0.0298339016735554
"EL531",2023,NA,NA,0,4.85305309295654,14.5658931732178,3.33904337882996,3.19769144058228,76.5254058837891,71.4871215820312,0.142983421683311,0.00262409937568009,0.107646182179451
"EL641",2017,NA,NA,0,7.16879844665527,17.4946212768555,1.70973205566406,1.28452944755554,72.3765029907227,66.2875213623047,0.169935747981071,0.0077150990255177,0.038363803178072
"ES431",2024,NA,NA,0,10.0450458526611,17.7041130065918,1.84362030029297,2.17664074897766,80.8359069824219,68.9781723022461,0.221827864646912,0.00546804117038846,0.187205895781517
"HR04E",2014,NA,NA,0,4.53932905197144,12.9185771942139,4.03088855743408,4.86954641342163,85.4142303466797,86.2259826660156,0.0887090787291527,0.00616389978677034,0.0528537593781948
"FRB01",2014,NA,NA,0,6.34122133255005,13.9487857818604,1.82419741153717,2.25416970252991,81.4279708862305,80.2756729125977,0.18496860563755,0.0107440557330847,7.96776367106844e-10
"FRI34",2024,NA,NA,0,7.33400964736938,12.9876546859741,3.8071231842041,3.33266663551331,87.5274505615234,86.9300384521484,0.219248831272125,0.0151498438790441,7.50348339018103e-10
"RO121",2017,NA,NA,0,-2.7144021987915,9.37972450256348,2.92600107192993,2.08094263076782,77.8964462280273,78.6936569213867,0.189576879143715,0.00413460657000542,0.143941223621368
"BG344",2020,NA,NA,0,3.95422005653381,14.2998199462891,2.36382102966309,1.200758934021,75.1457366943359,69.4230651855469,0.132647275924683,0.00898643769323826,7.0986025093589e-05
"FRC23",2019,NA,NA,0,3.82492613792419,11.7399005889893,3.29085731506348,3.53595471382141,82.8332214355469,79.6977462768555,0.158791154623032,0.0153940245509148,0
"RSG125375",2024,NA,NA,0,5.86141300201416,12.6256771087646,1.56901443004608,1.90096116065979,79.6566619873047,75.1919860839844,0.100102141499519,0.0261120367795229,0.00429684156551957
"RO424",2023,NA,NA,0,4.19095277786255,14.3798456192017,2.44127488136292,1.96796762943268,82.9014434814453,73.3275299072266,0.175872609019279,0.00887241307646036,0.120888233184814
"FRK14",2023,NA,NA,0,3.51632928848267,13.0131530761719,2.79319787025452,3.14767956733704,81.3554992675781,74.7503356933594,0.177191555500031,0.0218725092709064,0
"SE311",2018,NA,NA,0,-2.99385237693787,7.06439018249512,1.07163691520691,2.13167667388916,89.7398223876953,83.7596664428711,0.0122669069096446,0.00838720332831144,0.0118987234309316
"ES613",2020,NA,NA,0,10.5465793609619,17.8423652648926,2.14916658401489,1.70654702186584,74.8349304199219,59.7482452392578,0.212032824754715,0.00887722335755825,0.197967231273651
"RO116",2023,NA,NA,0,2.30961346626282,12.1822099685669,2.02994728088379,2.67081379890442,83.9501495361328,76.5356674194336,0.204577773809433,0.00621484080329537,0.233243227005005
"ES618",2023,NA,NA,0,11.5778923034668,19.5388126373291,0.670422375202179,1.4797021150589,72.7058639526367,66.7118377685547,0.250397562980652,0.0208828002214432,0.155877217650414
"RSG125395",2023,NA,NA,0,4.78411960601807,15.5674629211426,2.5049786567688,1.6652022600174,83.1551132202148,72.4333267211914,0.0977556332945824,0.0410428307950497,0.0105083230882883
"HU233",2023,NA,NA,0,3.80450296401978,14.0798015594482,2.34251570701599,2.24976682662964,83.5062255859375,75.9925689697266,0.0713103488087654,0.0231197066605091,0
"BG333",2023,NA,NA,0,4.84356355667114,15.4317646026611,2.53057503700256,1.63769125938416,80.6562881469727,68.1513748168945,0.182352766394615,0.00756947603076696,2.79661471722648e-05
"DE24",2024,NA,NA,0,3.07235932350159,9.73058795928955,2.84792804718018,2.78522825241089,84.552360534668,83.7528305053711,0.085120253264904,0.0487655848264694,7.14410544611077e-11
"PL418",2024,NA,NA,0,3.15018606185913,10.6690092086792,1.42366945743561,1.48986923694611,85.1583709716797,79.6834259033203,0.0959280133247375,0.0321081317961216,7.76187100703929e-11
"BG315",2018,NA,NA,0,1.99855053424835,11.7239723205566,2.36029767990112,1.23071932792664,82.8018569946289,75.1037902832031,0.122238643467426,0.00779045140370727,9.48257729760371e-05
"PL924",2023,NA,NA,0,1.04087913036346,10.2263174057007,1.46771919727325,1.98158645629883,87.2815780639648,80.8860321044922,0.119180828332901,0.00578798400238156,1.10708546496863e-10
