"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"FI1C5",112177.015625,111893.9921875,108501.1640625,98934.75
"FI1D1",173001.4375,168099.078125,159866.546875,144937.609375
"FI1D2",227659.359375,222280.265625,216667.75,203920.015625
"FI1D3",155274.328125,151682.5625,144394.046875,130532.21875
"FI1D5",46392.6171875,45448.17578125,43114.7890625,39163.80859375
"FI1D7",142049.890625,136228.21875,128462.875,116949.7890625
"FI1D8",70637.8828125,68973.8671875,66750.609375,61201.2578125
"FI1D9",275401.75,269571.40625,256584.71875,235437.25
"FI200",10562.212890625,10245.0341796875,9462.45703125,8723.119140625
"FR101",332248.5625,349893.25,377993.1875,386136.375
"FR102",2078429.75,2175258,2312232.5,2329269.25
"FR103",2494156.5,2633853.75,2857658.5,2924818.75
"FR104",4061032,4274845.5,4613509.5,4709264.5
"FR105",703655.4375,741024.3125,800536.0625,817782.1875
"FR106",656871.8125,692279.9375,747950.0625,763750.0625
"FR107",737963.4375,777582.9375,840101.3125,857955.4375
"FR108",1009280.6875,1060778.625,1139524.5,1155065
"FRB01",300992.5625,296076.46875,286135.1875,270701.59375
"FRB02",512258.875,525107.875,538518.1875,527496.625
"FRB03",247703.28125,241868.8125,231083.765625,216815.375
"FRB04",666301.875,688331.375,717396.875,713519.625
"FRB05",476877.8125,479931.59375,481410.09375,468317.4375
"FRB06",583061.3125,595252.25,608621.9375,598072.3125
"FRC11",532171.9375,554992.0625,587008.5625,587341.5
"FRC12",208873.921875,203051.09375,193781.15625,182456.53125
"FRC13",591406.75,586213,572390.5625,543678.5625
"FRC14",335571.53125,331655.5625,322321.5,305923.03125
"FRC21",495465.34375,504865.28125,510970.15625,493381.9375
"FRC22",370627.65625,374892.59375,376544.03125,363021.3125
"FRC23",361222.46875,361262.90625,355310.5,338758.34375
"FRC24",91397.75,93911.0546875,96367.0390625,93920.890625
"FRD11",552413.25,571249.75,596276.125,590743.1875
"FRD12",252464.046875,245133.65625,232837.6875,219446.359375
