"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"SE221",2.45793056488037,9.09653759002686,19.4882888793945,11.3780870437622,17.0303592681885,2.53145718574524,1.71133244037628,2.35584759712219,2.33013558387756,86.9006500244141,77.9866638183594,77.6763153076172,85.4327850341797,0.0386805571615696,0.0126955974847078,0.00376438535749912,0.00627027498558164,9.0625826068963e-26,0.525121927261353,0.0270835030823946,0.109253063797951,130691.5234375,NA,41.7632606847983
"SE224",2.54963064193726,9.35256195068359,19.256929397583,11.4109754562378,16.7073001861572,3.03455519676208,1.92523396015167,2.83095836639404,2.81458258628845,89.2925033569336,78.6255264282227,79.0263442993164,87.2427368164062,0.224820733070374,0.0607165843248367,0.00291692651808262,0.017569100484252,5.27077956165291e-25,0.0662141665816307,0.539577841758728,0.0541385747492313,1078184.75,NA,95.3346834909436
"SE231",1.93463599681854,9.07712650299072,19.0045185089111,10.8399381637573,17.069881439209,3.86843132972717,2.49671268463135,3.47056865692139,3.76029753684998,89.3176040649414,77.4426879882812,77.8127212524414,87.3937835693359,0.0932171046733856,0.0275068022310734,0.00997408758848906,0.00751277431845665,4.71421157233432e-30,0,0.708151876926422,0,287647.1875,NA,50.6059723142195
"SE232",0.76369446516037,8.48053932189941,18.922155380249,9.92759227752686,18.1584625244141,3.21299982070923,2.29837846755981,2.92999148368835,3.22710275650024,87.4272842407227,76.4230880737305,75.9536895751953,85.3266220092773,0.125951215624809,0.0408402420580387,0.012276615947485,0.00844408757984638,2.95614809147082e-05,0.178448021411896,0.372141867876053,0.0714205950498581,1522494.75,NA,52.5120674690154
"SE311",-1.56586992740631,7.49163866043091,18.5402774810791,8.2477331161499,20.1061477661133,2.62224936485291,2.19471096992493,2.84202527999878,2.99233269691467,85.7382507324219,74.3624038696289,72.967658996582,84.4211196899414,0.0469891466200352,0.0220048353075981,0.013364939019084,0.00763935688883066,0.000112637077108957,0.0135095939040184,0.730512619018555,0.00892357341945171,378610.75,NA,17.3737707805877
"SEG226001",-6.12777137756348,4.03981399536133,15.9160652160645,4.8441219329834,22.0438365936279,2.00864100456238,2.18444037437439,2.98507380485535,2.6713719367981,84.2276306152344,73.7638092041016,72.9421615600586,84.6241760253906,0.00257290806621313,0.00759201217442751,0.0292562488466501,0.000518666871357709,0.00762009806931019,0,0.934120416641235,0,9179.701171875,NA,1.29377578474418
"SEG226002",-1.04739463329315,7.20535612106323,17.8562488555908,7.8383321762085,18.9036445617676,1.85086727142334,1.78265035152435,2.15298914909363,2.41878414154053,84.3414077758789,70.8272705078125,70.1747741699219,84.474609375,0.0968541353940964,0.0170894768089056,0.0142679791897535,0.00408739782869816,1.8271522475464e-28,0,0.825516819953918,0,13481.126953125,NA,20.1552910935537
"SEG226003",-2.49477362632751,6.60392570495605,17.8102703094482,7.26739501953125,20.3050441741943,2.08031487464905,1.94034743309021,2.42013502120972,2.54432559013367,84.6830825805664,71.1355133056641,70.3732299804688,84.6562118530273,0.0478822067379951,0.00577740464359522,0.00243442808277905,0.00874083302915096,4.55501657866956e-24,0,0.879396975040436,0,29159.9453125,NA,46.2062837325461
"SEG226004",-2.51200723648071,6.37974166870117,17.6003036499023,7.17523336410522,20.1123104095459,1.97241401672363,1.80811262130737,2.31176161766052,2.52180361747742,84.8767547607422,71.4457702636719,70.4619827270508,84.9649887084961,0.0287665016949177,0.00415277015417814,0.00221817987039685,0.00662074703723192,1.71810087070355e-23,0,0.883278667926788,0,69542.3125,NA,30.8884009834717
"SEG226005",-2.95688486099243,6.4790506362915,17.8648338317871,7.10636234283447,20.8217182159424,2.15392971038818,2.04117918014526,2.60958862304688,2.58295607566833,84.9625778198242,71.7342681884766,70.9656219482422,84.8454742431641,0.0209481809288263,0.00436252355575562,0.00169143860694021,0.00408432353287935,5.43289057628344e-24,0,0.904224634170532,0,15314.955078125,NA,18.957911769458
"SEG226006",-1.35530233383179,7.09790897369385,17.8495197296143,7.7122917175293,19.2048225402832,1.91053104400635,1.83512997627258,2.23557043075562,2.45817112922668,84.437126159668,70.8614196777344,70.2053756713867,84.544563293457,0.104006133973598,0.0166988223791122,0.0110011557117105,0.00525143044069409,1.61845651682776e-24,0,0.824063956737518,0,22906.64453125,NA,24.7240250663932
"SEG226007",-3.37540650367737,6.30749750137329,17.7600593566895,6.87723970413208,21.1354656219482,1.88399839401245,1.92695271968842,2.53133058547974,2.36321306228638,84.3512878417969,71.8312530517578,70.803955078125,84.3758316040039,0.0290403999388218,0.00654536345973611,0.00226609385572374,0.0044502173550427,1.06617840890595e-23,0,0.826058149337769,0,30018.33203125,NA,20.6784710651249
"SEG226008",-2.82779884338379,6.48856401443481,17.8464088439941,7.15246105194092,20.6742076873779,2.36358857154846,2.16334795951843,2.69655060768127,2.73170614242554,85.3947982788086,71.7685394287109,71.1346817016602,85.1578903198242,0.0130076520144939,0.00140338495839387,0.00131474551744759,0.00366117083467543,1.00040519822393e-24,0,0.943282127380371,0,29541.58203125,NA,17.8543025875498
"SEG226009",-4.65229511260986,5.71845579147339,17.4035396575928,6.22364568710327,22.0558338165283,2.40332984924316,2.40381622314453,3.01740026473999,2.928955078125,85.0155868530273,72.9862442016602,71.8040924072266,84.9247283935547,0.00411086902022362,0.00761350290849805,0.0357742011547089,0.00095888355281204,0.000188016143511049,0,0.922336935997009,0,14414.58984375,NA,3.33279231191581
"SEG226010",-4.43220996856689,5.65298366546631,17.3074340820312,6.20323753356934,21.7396411895752,2.06613254547119,2.163578748703,2.81771230697632,2.57887530326843,84.1996002197266,72.1671600341797,71.1617736816406,84.2981567382812,0.00906852632761002,0.00355687225237489,0.00623155198991299,0.0015131967375055,2.45641858998006e-24,0,0.932278633117676,0,20959.4140625,NA,6.71213331316732
"SEG226011",-4.67574691772461,5.42616653442383,17.101354598999,6.0238151550293,21.777099609375,2.0490243434906,2.18263959884644,2.8281192779541,2.7313756942749,84.0625381469727,72.0586624145508,71.1396179199219,84.2860641479492,0.00940669886767864,0.002150216139853,0.00171745766419917,0.00227301311679184,7.35936384861915e-24,0,0.951937675476074,0,19167.533203125,NA,10.6306912607578
"SEG226012",-3.75294661521912,5.9241418838501,17.4570846557617,6.58757543563843,21.2100296020508,1.8786963224411,1.90214169025421,2.50472474098206,2.49463272094727,84.1110763549805,71.2557754516602,70.1129302978516,84.2581481933594,0.0200969129800797,0.00452961679548025,0.00202460889704525,0.00293410522863269,7.28669082658657e-24,0,0.918111681938171,0,26619.466796875,NA,12.4608137527827
"SEG226013",-1.76365506649017,6.97030973434448,17.9637546539307,7.64510011672974,19.727409362793,1.99915683269501,1.89822423458099,2.35729932785034,2.48380160331726,84.6676483154297,71.0196151733398,70.2366790771484,84.6401596069336,0.103089265525341,0.012507226318121,0.00687670893967152,0.00708908913657069,4.79754713081433e-24,0,0.822924554347992,0,21534.828125,NA,33.7279417720559
"SEG226014",-1.85513401031494,6.96378803253174,18.0094871520996,7.64456272125244,19.8646221160889,2.17419385910034,1.95524156093597,2.4259524345398,2.55532002449036,84.8739776611328,71.1233062744141,70.4623260498047,84.6257781982422,0.06331617385149,0.00854524504393339,0.00475850608199835,0.00777926156297326,4.42720336265339e-24,0,0.866585969924927,0,40885.83984375,NA,38.8051353831374
"SEG226015",-3.45929169654846,6.2017822265625,17.6794834136963,6.8103666305542,21.1387767791748,2.37853193283081,2.27717423439026,2.82518458366394,2.74128270149231,85.3228607177734,72.0826950073242,71.2409896850586,85.030387878418,0.00815245229750872,0.00189859897363931,0.00436698691919446,0.00123363372404128,1.0624951581749e-24,0,0.945743441581726,0,7105.73046875,NA,4.29139307641495
"SEG226016",-3.21438908576965,5.61114597320557,17.198860168457,6.87040615081787,20.4132480621338,2.08878660202026,1.90841054916382,2.42497277259827,2.68784952163696,83.174430847168,71.1686172485352,70.6594772338867,84.0723266601562,0.042976476252079,0.00688567850738764,0.00795532111078501,0.00349568040110171,6.7068316762279e-23,0,0.886343955993652,0,33640.2578125,NA,16.9216104750966
"SEG226017",-0.212777033448219,7.44392538070679,18.6674556732178,9.06777000427246,18.8802337646484,2.13467168807983,1.71105659008026,2.13994407653809,2.50302076339722,83.5055618286133,71.4130401611328,70.0101165771484,83.9352035522461,0.0435813777148724,0.00712603097781539,0.00701468251645565,0.00954101700335741,2.00520222176549e-23,0.367109715938568,0.270391136407852,0.0722677931189537,83702.9375,NA,47.1470029096815
"SEG226018",-1.28537821769714,7.00686407089233,17.8824234008789,7.8550705909729,19.1678009033203,2.00520253181458,1.78655636310577,2.24628710746765,2.52585482597351,84.4151229858398,71.1532516479492,70.415153503418,84.6540069580078,0.0578403510153294,0.010287375189364,0.00990532711148262,0.00321161444298923,4.24091583203771e-24,0,0.872980654239655,0,6441.57421875,NA,14.362737830232
