"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AL033",5.83537006378174,12.1004676818848,23.1308422088623,15.2558326721191,17.2954711914062,5.87921190261841,3.4105806350708,1.02545511722565,4.50547790527344,77.4007873535156,74.3035202026367,63.0728149414062,73.5043869018555,0.241813227534294,0.164087653160095,0.0205049309879541,0.00750425830483437,0.0492018796503544,0.0137215415015817,0.448968797922134,0.00334095116704702,36859.96875,NA,12.8376909034925
"AT11",3.08460259437561,12.0737237930298,22.0506610870361,13.0442600250244,18.9660568237305,1.7093962430954,2.58017754554749,3.33633184432983,2.10181999206543,81.879508972168,71.2135772705078,68.7516098022461,78.8470687866211,0.325124830007553,0.0917581617832184,0.00010968092828989,0.0206296741962433,0,0.031429834663868,0.246222227811813,0.265031635761261,364794.1875,NA,92.2748319220415
"AT12",2.32731056213379,11.0263423919678,20.9341449737549,12.2186279296875,18.6068363189697,2.48348236083984,3.10314702987671,3.45434832572937,2.05663394927979,83.6904296875,73.0067825317383,71.1199417114258,80.4670486450195,0.305553823709488,0.0792401432991028,0.00216515432111919,0.0278890449553728,0,0.130172312259674,0.076379619538784,0.378256559371948,3509188.75,NA,183.742704969903
"AT13",3.81227731704712,12.6232271194458,22.6060047149658,13.447847366333,18.7937297821045,1.92592656612396,2.62504053115845,2.80660057067871,1.84292304515839,82.5621109008789,70.8302383422852,67.4212493896484,77.8343200683594,0.283172726631165,0.0687904879450798,2.47817016907348e-10,0.131979554891586,0,0.113042965531349,0,0.403014272451401,503652.84375,NA,1188.0383504476
"AT21",-0.410120815038681,6.95065593719482,16.9577312469482,9.42302703857422,17.3678531646729,3.0156466960907,4.16252279281616,4.99123001098633,3.62754130363464,82.3506240844727,77.0979537963867,77.0408630371094,82.9289779663086,0.0903922393918037,0.0737314596772194,0.0431088879704475,0.0151024665683508,0,0,0.773531377315521,0,617723.625,NA,65.3438239503755
"AT22",0.249246165156364,8.09004974365234,18.0320911407471,10.1527214050293,17.7828464508057,3.02201557159424,3.8691737651825,4.99451875686646,2.89695286750793,83.7300186157227,76.4017028808594,76.7235336303711,83.3118743896484,0.11574263125658,0.0659461989998817,0.02028445340693,0.0222704466432333,0,0.0505294241011143,0.710377812385559,0.0139045268297195,1340373.75,NA,81.8730650171589
"AT31",1.7868195772171,9.87494277954102,19.5600833892822,11.6313343048096,17.7732639312744,3.81228017807007,4.12115430831909,4.57800054550171,2.91319346427917,84.9121932983398,75.1164398193359,75.2788238525391,82.8069305419922,0.226895093917847,0.150330245494843,0.00853356253355742,0.0276570171117783,0,0.0746719911694527,0.357590526342392,0.149597823619843,1533068.875,NA,128.5106499894
"AT32",-0.898146450519562,5.12637662887573,14.7846117019653,8.19611072540283,15.6827583312988,4.19922876358032,4.96685361862183,6.23115730285645,3.66475915908813,83.4563446044922,78.8080596923828,79.5145034790039,83.6831130981445,0.0799112468957901,0.113617181777954,0.114718310534954,0.0136024011299014,0,0,0.661403834819794,0,547296.25,NA,76.4083515245746
"AT33",-1.5615029335022,4.34044408798218,13.7237977981567,7.39389991760254,15.2853002548218,3.60025906562805,4.18634986877441,5.62267684936523,3.22892475128174,79.34619140625,76.6998291015625,78.5778045654297,80.982421875,0.0834114402532578,0.0945745334029198,0.118820361793041,0.0126375332474709,0,0,0.669359385967255,0,874026.125,NA,69.3742635989549
"AT34",-0.0348466001451015,5.97219562530518,15.2479906082153,8.84500694274902,15.2828369140625,4.61509799957275,4.68928098678589,5.96807813644409,3.86630916595459,78.7218856811523,75.3799209594727,77.5674362182617,80.2906723022461,0.0993173569440842,0.0985297858715057,0.0779601559042931,0.0336488038301468,0.000408870080718771,0,0.681628704071045,0,427593.09375,NA,162.837650016369
"BAG1652",2.96948337554932,10.410605430603,21.0754718780518,12.8188619613647,18.1059875488281,3.93688464164734,4.0466628074646,2.91462159156799,3.80276346206665,81.3274688720703,74.6420059204102,70.2173919677734,78.6761627197266,0.213104248046875,0.115295954048634,0.0223110374063253,0.0143276983872056,8.81777523318306e-05,0.115374229848385,0.469931602478027,0.0415739752352238,1287454.875,NA,48.1401518150145
"BAG1653",3.48596167564392,11.3235683441162,21.9901332855225,13.4867906570435,18.5041732788086,3.85281944274902,4.08008909225464,3.06497049331665,3.40332961082458,81.2560806274414,73.6344223022461,70.3123779296875,78.0978622436523,0.249967828392982,0.0964023545384407,0.0201386194676161,0.0122101781889796,0.000179628608748317,0.139906570315361,0.396829217672348,0.0752638801932335,921045.8125,NA,37.5770702250636
"BE10",5.92845964431763,11.3933296203613,20.1034107208252,13.9660634994507,14.1749505996704,2.80184459686279,2.37343621253967,2.62583160400391,2.50581312179565,86.3592910766602,76.3237762451172,74.6647109985352,83.2376022338867,0.274181127548218,0.0547854788601398,7.14613257457586e-10,0.271831333637238,0,0,0,0.399202108383179,200984.609375,NA,1329.51724908722
"BE21",5.99138259887695,11.3681316375732,20.1535987854004,13.8266315460205,14.1622171401978,2.72872495651245,2.14574670791626,2.51392436027527,2.560391664505,86.1001358032227,75.5639877319336,73.9024276733398,83.227783203125,0.190164864063263,0.0536384880542755,1.39280897926142e-09,0.137558355927467,0,2.72866312878151e-10,0,0.599649429321289,1523824.375,NA,534.699607440937
"BE22",5.52958488464355,11.3017492294312,20.2063255310059,13.7095727920532,14.6767416000366,2.79473924636841,2.31890630722046,2.58538246154785,2.50800848007202,85.8982315063477,74.8122711181641,73.1837539672852,82.8886184692383,0.193471819162369,0.0599999986588955,7.23819393311231e-10,0.1231330037117,0,0,0,0.623395144939423,1047056.1875,NA,431.119098607117
"BE23",6.02842855453491,11.2343873977661,20.073392868042,14.156153678894,14.0449647903442,2.83050179481506,2.13911199569702,2.48514270782471,2.60602760314941,86.2947082519531,76.9571914672852,75.6119384765625,83.560905456543,0.253564924001694,0.121598526835442,1.29170163454262e-09,0.128066301345825,0,2.21505896957908e-10,0,0.421065300703049,1592743.625,NA,527.263163916694
"BE24",5.68875408172607,11.3393268585205,20.2200183868408,13.9034214019775,14.5312633514404,2.7410740852356,2.33320045471191,2.58219766616821,2.43112111091614,86.2543029785156,75.9748916625977,74.3788681030273,83.1861953735352,0.299914419651031,0.0618270449340343,1.60340363208888e-09,0.184434950351715,0,2.18494163733984e-11,0,0.452303111553192,1604896.75,NA,758.910524043761
"BE25",6.091872215271,10.9382247924805,19.5583953857422,14.1324663162231,13.4665250778198,2.98750162124634,2.25357961654663,2.49137759208679,2.80156922340393,85.6686401367188,77.5853805541992,76.3331604003906,83.0484848022461,0.348892211914062,0.135093003511429,3.99082572544174e-10,0.111087828874588,0,7.80785623434111e-32,0,0.284869581460953,1394527.375,NA,442.572920726887
