"Longitude","Latitude","Admin","Year","disease"
-80.62643975,25.67593579,2,2016,"zik"
-80.49332626,26.60041932,2,2016,"zik"
-82.79922952,27.96700075,2,2016,"zik"
-82.64400653,27.77058229,2,2016,"zik"
-81.51424353,27.70817465,1,2016,"zik"
-64.76158621,17.75173357,0,2016,"zik"
-67.24420495,10.06073612,1,2016,"zik"
-63.87524825,6.561634147,1,2016,"zik"
-63.2561946,10.64302914,2,2016,"zik"
-67.00636301,10.4793794,1,2016,"zik"
-66.44854599,10.28331402,1,2016,"zik"
-63.50821018,10.42084544,1,2016,"zik"
106.6880723,11.20036831,2,2016,"zik"
106.5991191,10.84301449,2,2016,"zik"
108.9381663,12.31555232,1,2016,"zik"
106.188427,10.75504997,1,2016,"zik"
109.1118386,13.17317756,1,2016,"zik"
110.3427918,1.546214926,1,2014,"zik"
166.8603743,-15.23258311,0,2015,"zik"
-47.26439459,-22.82576072,2,2015,"zik"
-41.53243427,-12.35127033,1,2015,"zik"
-36.37490516,-5.652487955,1,2015,"zik"
-41.6423915,-12.3725361,1,2015,"zik"
-70.68779948,19.78161004,2,2015,"zik"
-43.25787422,-22.90123521,1,2015,"zik"
-37.73173296,-9.111192495,2,2015,"zik"
-47.557114,-4.292236991,2,2015,"zik"
-52.80109078,-5.435819278,1,2015,"zik"
-61.31996041,1.656101915,1,2015,"zik"
-45.55307108,-5.869854247,1,2015,"zik"
-38.44412878,-12.92292855,2,2015,"zik"
-38.32653743,-12.70055493,2,2015,"zik"
-40.08155762,-13.86018961,2,2015,"zik"
-39.08052383,-16.42944621,-999,2015,"zik"
-39.78034757,-4.726213713,1,2015,"zik"
-38.52786392,-3.748082648,2,2015,"zik"
-34.9316887,-8.169319765,2,2015,"zik"
-34.84507751,-7.990750049,2,2015,"zik"
-34.90200844,-8.061579304,2,2015,"zik"
-54.23913181,-25.34452738,2,2015,"zik"
-42.78110448,-5.088562803,2,2015,"zik"
-44.86198674,-4.72779995,1,2015,"zik"
-36.58437727,-7.060879764,1,2015,"zik"
-37.34259404,-10.60071602,1,2015,"zik"
-149.429116,-17.64847862,1,2015,"zik"
-49.26650993,-25.4403151,2,2015,"zik"
-50.62418315,-24.33292507,2,2015,"zik"
-36.66403423,-9.755906617,2,2015,"zik"
-35.72376621,-9.614180216,2,2015,"zik"
-36.30629824,-9.578645216,2,2015,"zik"
-35.72100918,-8.908854621,2,2015,"zik"
-37.73123368,-9.118098809,2,2015,"zik"
-54.63275785,-16.46985651,2,2015,"zik"
-53.55157746,-16.07777973,2,2015,"zik"
-56.14456707,-15.65111923,2,2015,"zik"
-38.00464861,-9.379981741,2,2015,"zik"
-36.30651282,-9.57872985,2,2015,"zik"
-37.24782335,-9.368517898,2,2015,"zik"
-75.48661607,10.39265619,2,2015,"zik"
-75.41391395,10.33449697,2,2015,"zik"
-75.9009623,8.753496827,1,2015,"zik"
-72.90281275,7.943610617,1,2015,"zik"
-81.72004739,12.54531545,1,2015,"zik"
-74.73035959,8.815327184,1,2015,"zik"
-75.3473514,10.25230196,-999,2015,"zik"
-75.48706832,10.39394967,1,2015,"zik"
-75.36905538,10.44589685,-999,2015,"zik"
-75.41296981,10.33466584,-999,2015,"zik"
-75.87870898,8.751045881,2,2015,"zik"
-72.62455184,7.877367566,-999,2015,"zik"
-75.39534826,9.304721014,2,2015,"zik"
-75.39139626,9.304642246,2,2015,"zik"
-74.81630313,11.00301418,2,2015,"zik"
-55.9438625,3.892709407,0,2015,"zik"
-23.51428319,14.93329348,2,2015,"zik"
122.1102929,-4.387476175,0,2015,"zik"
-74.97058364,9.617740582,1,2015,"zik"
-75.46434828,6.617313859,1,2015,"zik"
-81.72426219,12.54003543,1,2015,"zik"
-72.49310661,7.886974102,2,2015,"zik"
-74.18783617,5.050441188,1,2015,"zik"
-75.46083911,5.248586541,1,2015,"zik"
-76.48365061,3.701148057,1,2015,"zik"
-75.9363944,4.950498057,1,2015,"zik"
-75.24033813,4.444804484,2,2015,"zik"
106.8336289,-6.207884579,2,2015,"zik"
-36.65764252,-9.413711786,-999,2015,"zik"
-38.35970736,-8.281288729,1,2015,"zik"
-72.60478257,7.937161895,-999,2015,"zik"
-72.40910878,8.360910931,-999,2015,"zik"
-72.62448875,7.877603199,-999,2015,"zik"
-72.73764684,8.642271094,-999,2015,"zik"
-72.46937559,7.843768186,2,2015,"zik"
-75.60021305,5.47487786,-999,2015,"zik"
-74.67456526,5.472489932,-999,2015,"zik"
-75.60980941,4.98456834,-999,2015,"zik"
-75.70161787,5.424044048,-999,2015,"zik"
-39.55915599,-4.860526166,1,2015,"zik"
-89.53639519,14.96765129,-999,2015,"zik"
-74.20488519,11.24128866,2,2015,"zik"
-47.7573505,-15.80623614,1,2015,"zik"
-92.92813947,17.00598567,1,2015,"zik"
-99.94831436,26.1067703,1,2015,"zik"
-55.73769261,-22.55255829,2,2015,"zik"
-54.66617865,-25.50206664,2,2015,"zik"
-57.43119887,-23.42081886,2,2015,"zik"
-61.65097269,1.810344412,1,2015,"zik"
-64.71400606,-4.797371075,1,2015,"zik"
-48.42689523,-10.61872885,1,2015,"zik"
-45.5750645,-4.819746117,1,2015,"zik"
-42.49904424,-7.455388783,1,2015,"zik"
-36.66130223,-7.180770478,1,2015,"zik"
-40.62685235,-19.27149385,1,2015,"zik"
-55.13047659,-21.10556947,1,2015,"zik"
-51.01614772,-24.85944083,1,2015,"zik"
-71.6271637,10.64264729,2,2015,"zik"
-77.92721751,9.132245293,-999,2015,"zik"
-46.59351245,-23.54275658,1,2015,"zik"
-47.77938576,-15.75085085,1,2015,"zik"
-55.07554496,-20.83884802,1,2015,"zik"
-37.42224601,-10.60881261,1,2015,"zik"
-109.3559828,-27.11312826,2,2015,"zik"
-99.99225967,26.53021233,1,2015,"zik"
-93.2247703,17.03750084,1,2015,"zik"
-78.02318617,9.24181315,2,2015,"zik"
-55.73822173,-22.55710308,2,2015,"zik"
-100.003246,26.22509576,1,2015,"zik"
-92.48868638,16.5115612,1,2015,"zik"
-47.07820258,-22.91008315,1,2015,"zik"
-46.51761627,-23.68086113,2,2015,"zik"
-46.52860028,-23.4585815,2,2015,"zik"
-48.90127663,-20.73955303,2,2015,"zik"
-75.60028926,5.474950954,-999,2015,"zik"
-74.6730481,5.469291607,2,2015,"zik"
-75.87145481,5.060792181,-999,2015,"zik"
-75.70548025,5.420668907,-999,2015,"zik"
-88.63515599,13.75013013,0,2015,"zik"
-149.6644202,-17.58710139,0,2015,"zik"
-172.4409183,-13.64177939,0,2015,"zik"
177.9428296,-17.84352195,0,2015,"zik"
165.4570166,-21.31406952,0,2015,"zik"
159.9760395,-9.545692652,0,2015,"zik"
166.816429,-15.28557816,0,2015,"zik"
-55.20119492,5.853784985,2,2015,"zik"
-54.90024463,5.716783928,2,2015,"zik"
-87.58029073,13.56100552,1,2015,"zik"
-78.07749005,9.16140273,1,2015,"zik"
-75.93626711,5.215917358,1,2015,"zik"
-75.56439638,6.571398998,1,2015,"zik"
-74.95566082,10.58870032,1,2015,"zik"
-75.44911806,10.46201769,1,2015,"zik"
-73.49555233,9.823233904,1,2015,"zik"
-75.77889126,8.374038056,1,2015,"zik"
-74.16861009,5.047705264,1,2015,"zik"
-75.56763274,2.562065815,1,2015,"zik"
-74.40738566,10.12751123,1,2015,"zik"
-81.72426219,12.54003543,1,2015,"zik"
-74.20728845,11.24095192,2,2015,"zik"
-75.1074119,9.16262743,1,2015,"zik"
-75.28630417,4.080227306,1,2015,"zik"
-55.08690847,5.688928146,-999,2015,"zik"
-61.02802697,14.65034989,0,2015,"zik"
-72.29167194,18.56828456,2,2015,"zik"
-45.48717388,-4.578859582,1,2015,"zik"
-42.63088017,-7.586090576,1,2015,"zik"
-47.7998416,-21.17065389,2,2015,"zik"
-88.00969371,15.50355443,2,2016,"zik"
-59.56547699,13.16674434,0,2016,"zik"
-69.60842662,18.45474633,-999,2016,"zik"
-69.81812375,18.49512737,2,2016,"zik"
-35.20611021,-5.780103494,2,2016,"zik"
-37.34061226,-5.194549096,2,2016,"zik"
-35.25642836,-5.921907957,2,2016,"zik"
-35.42545173,-5.650576713,-999,2016,"zik"
-93.09426911,16.97671037,1,2016,"zik"
-100.1131093,26.63828537,1,2016,"zik"
-103.7812369,20.15445059,1,2016,"zik"
-86.2584694,12.1197789,2,2016,"zik"
-63.05458356,18.07973108,0,2016,"zik"
-61.57297443,16.25439385,0,2016,"zik"
-64.83359078,17.72346555,1,2016,"zik"
-61.77583877,-17.05556105,1,2016,"zik"
100.7517289,15.27981867,0,2016,"zik"
-58.94114427,4.831687572,0,2016,"zik"
-78.65446748,-1.519077877,0,2016,"zik"
-88.87344347,13.73233301,0,2016,"zik"
-72.58135292,18.96917372,0,2016,"zik"
-52.03506382,-24.68949705,1,2016,"zik"
-48.46882929,-10.70502359,1,2016,"zik"
-50.11756713,-15.349704,1,2016,"zik"
-55.99724375,-13.35585802,1,2016,"zik"
-54.73294554,-20.9080421,1,2016,"zik"
-52.84389146,-28.98386032,1,2016,"zik"
-78.41806619,9.334899024,1,2016,"zik"
-47.33764221,-22.73734646,2,2016,"zik"
-175.2072148,-21.13808572,2,2016,"zik"
101.1395106,-0.137938613,1,2016,"zik"
-85.64828849,9.979628949,-999,2016,"zik"
-92.95011211,17.01649131,1,2016,"zik"
-96.63014658,16.78319678,1,2016,"zik"
-99.51628493,17.86873612,1,2016,"zik"
-107.6310348,25.16625089,1,2016,"zik"
-95.60893101,18.50337539,1,2016,"zik"
-89.22907237,20.28650094,1,2016,"zik"
-103.3556713,20.66092851,2,2016,"zik"
-69.93047598,18.47975084,1,2016,"zik"
-71.85254665,18.48864155,2,2016,"zik"
-69.89661007,18.62060309,2,2016,"zik"
-71.10340334,18.2119421,2,2016,"zik"
-35.0144101,-7.563316501,-999,2016,"zik"
-40.36869888,-19.16866008,1,2016,"zik"
-36.26352755,-9.651371829,1,2016,"zik"
-80.14292761,-0.929210994,1,2016,"zik"
-91.03061394,-0.67154126,1,2016,"zik"
-159.7806662,-21.23905601,0,2016,"zik"
-69.9762426,12.51601867,0,2016,"zik"
-68.25746163,12.18323838,0,2016,"zik"
-68.99082473,12.17014533,0,2016,"zik"
-77.30417196,18.14739776,0,2016,"zik"
-61.30021314,10.45709619,0,2016,"zik"
-78.49338304,-0.087832927,1,2016,"zik"
-80.15391394,-0.84133087,1,2016,"zik"
