"Longitude","Latitude","Admin","Year","disease"
-60.029354,-22.346265,-999,2009,"dengue"
-55.539,-23.263,-999,2009,"dengue"
-57.045,-23.344,-999,2009,"dengue"
-56.537,-22.965,-999,2009,"dengue"
-56.453,-25.4237,-999,2009,"dengue"
-55.738983,-22.555412,-999,2009,"dengue"
-56.296089,-25.825832,-999,2010,"dengue"
-57.119974,-22.84154,-999,2010,"dengue"
-55.88062,-25.190019,-999,2010,"dengue"
-65.779324,-28.468088,-999,2009,"dengue"
-65.2164,-26.8094,-999,2009,"dengue"
-65.2665,-26.7309,-999,2009,"dengue"
-64.1,-23.21,-999,1997,"dengue"
-63.71,-22.06,-999,1997,"dengue"
-63.81,-22.53,-999,1997,"dengue"
-64.33,-23.13,-999,1997,"dengue"
-65.05,-24.66,-999,1998,"dengue"
-64.1,-23.21,-999,1998,"dengue"
-63.71,-22.06,-999,1998,"dengue"
-63.687072,-22.039503,-999,1998,"dengue"
-63.81,-22.53,-999,1998,"dengue"
-64.33,-23.13,-999,1998,"dengue"
-63.71,-22.06,-999,2009,"dengue"
-64.3189,-23.1385,-999,2009,"dengue"
-63.683334,-22.033333,-999,2009,"dengue"
-63.81,-22.53,-999,2009,"dengue"
-64.321699,-23.128383,-999,2009,"dengue"
-57.71,-25.28,-999,1999,"dengue"
-57.65,-25.35,-999,2000,"dengue"
-57.71,-25.28,-999,2000,"dengue"
-57.71,-25.28,-999,2001,"dengue"
-57.71,-25.28,-999,2006,"dengue"
-57.71,-25.28,-999,2007,"dengue"
-57.716667,-25.283333,-999,2009,"dengue"
-64.133331,-27.583332,-999,1999,"dengue"
-58.68,-34.7,-999,2000,"dengue"
-58.386,-34.696,-999,2007,"dengue"
-60.226944,-33.330276,-999,2009,"dengue"
-64.86,-24.23,-999,2000,"dengue"
-64.820218,-24.296733,-999,2006,"dengue"
-65.762068,-23.318542,-999,2009,"dengue"
-55.924752,-27.425262,-999,2000,"dengue"
-54.58,-25.96,-999,2000,"dengue"
-54.65,-26.01,-999,2000,"dengue"
-54.63,-26.4,-999,2000,"dengue"
-54.578047,-25.599116,-999,2000,"dengue"
-54.457515,-25.690342,-999,2002,"dengue"
-54.578047,-25.599116,-999,2006,"dengue"
-60.766636,-26.387381,-999,2003,"dengue"
-61.1874,-27.218,-999,2009,"dengue"
-109.36,-27.11,-999,2002,"dengue"
-109.366424,-27.121192,-999,2002,"dengue"
-60.95071,-30.70351,-999,2007,"dengue"
-60.95071,-30.70351,-999,2009,"dengue"
-60.95071,-30.70351,-999,2010,"dengue"
43.24,-11.7,-999,1993,"dengue"
55.515,-21.278,-999,2005,"dengue"
55.515,-21.278,-999,2006,"dengue"
55.409839,-21.291854,-999,2007,"dengue"
55.409839,-21.291854,-999,2008,"dengue"
55.4384,-21.2713,-999,2008,"dengue"
55.409839,-21.291854,-999,2009,"dengue"
40.5133,-12.9998,-999,1984,"dengue"
40.5133,-12.9998,-999,1985,"dengue"
168.3117,-17.7297,-999,1989,"dengue"
168.3117,-17.7297,-999,1990,"dengue"
168.3117,-17.7297,-999,1998,"dengue"
166.214976,-21.606844,-999,1979,"dengue"
166.61,-22.27,-999,1989,"dengue"
165.63391,-21.286815,-999,1989,"dengue"
165.2324,-20.7822,-999,1989,"dengue"
166.449,-22.268,-999,1989,"dengue"
166.45,-22.26,-999,1994,"dengue"
166.45,-22.26,-999,1995,"dengue"
166.449,-22.268,-999,1995,"dengue"
166.449,-22.268,-999,1996,"dengue"
166.449,-22.268,-999,1997,"dengue"
164.047216,-20.261509,-999,1998,"dengue"
166.58,-22.28,-999,1998,"dengue"
166.449,-22.268,-999,1998,"dengue"
164.432702,-20.350743,-999,1998,"dengue"
166.58,-22.28,-999,1999,"dengue"
166.449,-22.268,-999,1999,"dengue"
166.449709,-22.149888,-999,1999,"dengue"
166.362333,-22.129694,-999,1999,"dengue"
166.458,-22.2758,-999,2001,"dengue"
166.458,-22.2758,-999,2002,"dengue"
164.2619,-20.5621,-999,2002,"dengue"
165.954309,-21.519916,-999,2003,"dengue"
164.820785,-20.643066,-999,2003,"dengue"
164.397941,-20.669569,-999,2003,"dengue"
166.908394,-22.160409,-999,2003,"dengue"
166.569285,-22.262568,-999,2003,"dengue"
165.63391,-21.286815,-999,2003,"dengue"
166.458,-22.2758,-999,2003,"dengue"
