"Longitude","Latitude","Admin","Year","disease"
122.9974,8.2376,"-999",2013,"chik"
122.28333,12.53333,"-999",2013,"chik"
121.5,16.73333,"-999",2013,"chik"
122.22444,10.6386,"-999",2013,"chik"
124.92639,6.44417,"-999",2013,"chik"
106.55139,-6.9875,"-999",2013,"chik"
124.87833,6.94667,"-999",2013,"chik"
122.01667,10.66667,"-999",2013,"chik"
122.08333,11.16667,"2",2013,"chik"
80.3436,7.2523,"-999",2008,"chik"
55.6,-21.1,"0",2006,"chik"
77.2119,28.6713,"1",2013,"chik"
110.59583,-7.53306,"-999",2013,"chik"
109.1475,-7.66417,"-999",2013,"chik"
103.75639,1.32028,"-999",2013,"chik"
103.72863,1.32248,"-999",2013,"chik"
103.773,1.444,"-999",2013,"chik"
121.46667,17.15,"-999",2013,"chik"
121,17.1,"-999",2013,"chik"
112.6029,-8.1937,"-999",2013,"chik"
122.9292,10.64205,"-999",2013,"chik"
124.95,6.31667,"-999",2013,"chik"
120.51927,14.4364,"-999",2013,"chik"
115.24861,-8.42306,"1",2013,"chik"
110.92056,-7.81444,"-999",2013,"chik"
110.92056,-7.81444,"-999",2013,"chik"
120.51667,17.31667,"-999",2013,"chik"
144.83333,-6.25,"1",2013,"chik"
146.93652,-2.0729,"-999",2013,"chik"
121.16667,16.83333,"2",2013,"chik"
121.16667,17.08333,"2",2013,"chik"
121.41609,17.42599,"2",2013,"chik"
121.1792,18.03359,"2",2013,"chik"
120.593,16.416,"-999",2013,"chik"
120.75,17.58333,"2",2013,"chik"
123.58333,-10.16667,"-999",2013,"chik"
123,10,"-999",2013,"chik"
123,10.41667,"2",2013,"chik"
122.564,10.697,"-999",2013,"chik"
103.5,2,"1",2008,"chik"
75.81667,26.91667,"-999",2013,"chik"
109.6753,-6.8886,"-999",2013,"chik"
73.18758,22.30655,"-999",2013,"chik"
78.24,12.13,"2",2006,"chik"
78.96091,11.7387,"-999",2013,"chik"
121.05537,14.6363,"-999",2013,"chik"
75.7707,11.25098,"-999",2008,"chik"
107.47972,-6.92556,"-999",2013,"chik"
105.25803,-5.42544,"-999",2008,"chik"
72.61667,23.03333,"-999",2013,"chik"
111.7872,-7.665,"-999",2013,"chik"
111.9035,-7.6051,"-999",2013,"chik"
109.90128,-7.32724,"1",2008,"chik"
-61.5834,16.25,"1",2013,"chik"
-61.5834,16.25,"1",2013,"chik"
115.21667,-8.65,"-999",2013,"chik"
-59.0625,4.06154,"-999",2013,"chik"
115.4,-8.53333,"-999",2013,"chik"
110.60639,-7.70583,"-999",2013,"chik"
108.3,-6.46667,"-999",2013,"chik"
114.6942,-8.3213,"2",2013,"chik"
103.89298,1.35497,"-999",2013,"chik"
121,16,"-999",2013,"chik"
121,16,"-999",2013,"chik"
72.0043,22.9988,"1",2013,"chik"
73.85674,18.52043,"-999",2013,"chik"
74.98333,13.2,"-999",2008,"chik"
75.03617,12.89687,"-999",2008,"chik"
124.9857,11.24517,"1",2014,"chik"
112.58789,-7.64566,"1",2014,"chik"
110.83806,-7.6725,"-999",2008,"chik"
78.82218,14.46501,"-999",2008,"chik"
80.39917,6.68278,"-999",2008,"chik"
-64.75084,18.46497,"-999",2014,"chik"
110.59583,-7.53306,"-999",2014,"chik"
112.0649,-6.8976,"-999",2014,"chik"
113.4746,-7.1568,"-999",2014,"chik"
113.0563,-7.7129,"-999",2014,"chik"
114.61667,-8.4,"-999",2014,"chik"
107.62056,-6.91278,"-999",2014,"chik"
111.4024,-7.5629,"-999",2014,"chik"
102.81667,2.5,"-999",2008,"chik"
108.34833,-6.30111,"-999",2014,"chik"
-64.62211,18.42738,"0",2014,"chik"
